State,Mathematics,Writing,Total SAT score
Alabama,538,533,1616
Alaska,503,482,1494
Arizona,527,502,1552
Arkansas,569,551,1688
California,506,491,1492
Colorado,587,567,1736
Connecticut,506,504,1514
Delaware,461,445,1368
District of Columbia,440,432,1313
Florida,480,468,1434
Georgia,485,475,1450
Hawaii,508,477,1472
Idaho,463,442,1372
Illinois,616,587,1802
Indiana,499,478,1473
Iowa,600,566,1755
Kansas,592,568,1748
Kentucky,587,574,1749
Louisiana,559,553,1675
Maine,473,451,1392
Maryland,493,478,1462
Massachusetts,529,507,1552
Michigan,609,585,1788
Minnesota,607,576,1778
Mississippi,563,570,1713
Missouri,599,582,1777
Montana,556,538,1655
Nebraska,590,576,1755
Nevada,494,470,1458
New Hampshire,530,511,1566
New Jersey,521,499,1520
New Mexico,544,528,1623
New York,502,478,1469
North Carolina,504,476,1478
North Dakota,608,586,1791
Ohio,563,537,1657
Oklahoma,569,548,1693
Oregon,521,502,1546
Pennsylvania,504,842,1485
Puerto Rico,450,450,1363
Rhode Island,494,484,1472
South Carolina,487,467,1442
South Dakota,597,564,1753
Tennessee,574,568,1723
Texas,486,454,1410
Utah,575,554,1708
Vermont,524,507,1554
Virginia,.,499,1533
Virgin Islands,388,412,1214
Washington,510,484,1496
West Virginia,497,495,1501
Wisconsin,605,575,1771
Wyoming,586,562,1737
